image,label
D:\dataset_chain\water\input0/train/1.tif,D:\dataset_chain\water\input0/train_label/1.tif
D:\dataset_chain\water\input0/train/2.tif,D:\dataset_chain\water\input0/train_label/2.tif
D:\dataset_chain\water\input0/train/3.tif,D:\dataset_chain\water\input0/train_label/3.tif
D:\dataset_chain\water\input0/train/4.tif,D:\dataset_chain\water\input0/train_label/4.tif
D:\dataset_chain\water\input0/train/5.tif,D:\dataset_chain\water\input0/train_label/5.tif
D:\dataset_chain\water\input0/train/6.tif,D:\dataset_chain\water\input0/train_label/6.tif
D:\dataset_chain\water\input0/train/7.tif,D:\dataset_chain\water\input0/train_label/7.tif
D:\dataset_chain\water\input0/train/8.tif,D:\dataset_chain\water\input0/train_label/8.tif
D:\dataset_chain\water\input0/train/9.tif,D:\dataset_chain\water\input0/train_label/9.tif
D:\dataset_chain\water\input0/train/10.tif,D:\dataset_chain\water\input0/train_label/10.tif
D:\dataset_chain\water\input0/train/11.tif,D:\dataset_chain\water\input0/train_label/11.tif
D:\dataset_chain\water\input0/train/12.tif,D:\dataset_chain\water\input0/train_label/12.tif
D:\dataset_chain\water\input0/train/13.tif,D:\dataset_chain\water\input0/train_label/13.tif
D:\dataset_chain\water\input0/train/14.tif,D:\dataset_chain\water\input0/train_label/14.tif
D:\dataset_chain\water\input0/train/15.tif,D:\dataset_chain\water\input0/train_label/15.tif
D:\dataset_chain\water\input0/train/16.tif,D:\dataset_chain\water\input0/train_label/16.tif
D:\dataset_chain\water\input0/train/17.tif,D:\dataset_chain\water\input0/train_label/17.tif
D:\dataset_chain\water\input0/train/18.tif,D:\dataset_chain\water\input0/train_label/18.tif
D:\dataset_chain\water\input0/train/19.tif,D:\dataset_chain\water\input0/train_label/19.tif
D:\dataset_chain\water\input0/train/20.tif,D:\dataset_chain\water\input0/train_label/20.tif
D:\dataset_chain\water\input0/train/21.tif,D:\dataset_chain\water\input0/train_label/21.tif
D:\dataset_chain\water\input0/train/22.tif,D:\dataset_chain\water\input0/train_label/22.tif
D:\dataset_chain\water\input0/train/23.tif,D:\dataset_chain\water\input0/train_label/23.tif
D:\dataset_chain\water\input0/train/24.tif,D:\dataset_chain\water\input0/train_label/24.tif
D:\dataset_chain\water\input0/train/25.tif,D:\dataset_chain\water\input0/train_label/25.tif
D:\dataset_chain\water\input0/train/26.tif,D:\dataset_chain\water\input0/train_label/26.tif
D:\dataset_chain\water\input0/train/27.tif,D:\dataset_chain\water\input0/train_label/27.tif
D:\dataset_chain\water\input0/train/28.tif,D:\dataset_chain\water\input0/train_label/28.tif
D:\dataset_chain\water\input0/train/29.tif,D:\dataset_chain\water\input0/train_label/29.tif
D:\dataset_chain\water\input0/train/30.tif,D:\dataset_chain\water\input0/train_label/30.tif
D:\dataset_chain\water\input0/train/31.tif,D:\dataset_chain\water\input0/train_label/31.tif
D:\dataset_chain\water\input0/train/32.tif,D:\dataset_chain\water\input0/train_label/32.tif
D:\dataset_chain\water\input0/train/33.tif,D:\dataset_chain\water\input0/train_label/33.tif
D:\dataset_chain\water\input0/train/34.tif,D:\dataset_chain\water\input0/train_label/34.tif
D:\dataset_chain\water\input0/train/35.tif,D:\dataset_chain\water\input0/train_label/35.tif
D:\dataset_chain\water\input0/train/36.tif,D:\dataset_chain\water\input0/train_label/36.tif
D:\dataset_chain\water\input0/train/37.tif,D:\dataset_chain\water\input0/train_label/37.tif
D:\dataset_chain\water\input0/train/38.tif,D:\dataset_chain\water\input0/train_label/38.tif
D:\dataset_chain\water\input0/train/39.tif,D:\dataset_chain\water\input0/train_label/39.tif
D:\dataset_chain\water\input0/train/40.tif,D:\dataset_chain\water\input0/train_label/40.tif
D:\dataset_chain\water\input0/train/41.tif,D:\dataset_chain\water\input0/train_label/41.tif
